Date,PredictedPrice,RMSE,MSE
2024-05-31,3816.09,57.02,3251.20
2024-06-03,3809.48,57.02,3251.20
2024-06-04,3807.28,57.02,3251.20
2024-06-05,3805.08,57.02,3251.20
2024-06-06,3802.88,57.02,3251.20
2024-06-07,3800.68,57.02,3251.20
2024-06-10,3794.08,57.02,3251.20
2024-06-11,3791.88,57.02,3251.20
2024-06-12,3789.68,57.02,3251.20
2024-06-13,3787.48,57.02,3251.20
2024-06-14,3785.27,57.02,3251.20
2024-06-17,3778.67,57.02,3251.20
2024-06-18,3776.47,57.02,3251.20
2024-06-19,3774.27,57.02,3251.20
2024-06-20,3772.07,57.02,3251.20
2024-06-21,3769.87,57.02,3251.20
2024-06-24,3763.27,57.02,3251.20
2024-06-25,3761.07,57.02,3251.20
2024-06-26,3758.87,57.02,3251.20
2024-06-27,3756.66,57.02,3251.20
2024-06-28,3754.46,57.02,3251.20
2024-07-01,3747.86,57.02,3251.20
2024-07-02,3745.66,57.02,3251.20
2024-07-03,3743.46,57.02,3251.20
2024-07-04,3741.26,57.02,3251.20
2024-07-05,3739.06,57.02,3251.20
2024-07-08,3732.46,57.02,3251.20
2024-07-09,3730.26,57.02,3251.20
2024-07-10,3728.05,57.02,3251.20
2024-07-11,3725.85,57.02,3251.20